SMILES,Prediction,Affinity,Distance
CC1C=C(C2CCN(C)CC2)C=CN1C(=O)C1=CNc2ccccc2OCC(O)=CN1,0.825127231,-11.5,0.825737705
FCCNC=C1CN2C=C=C(c3ccc(F)c(Cl)c3)CN=C2C=C1OCCCOCF,0.823372508,-10.9,0.833106989
Cc1ccc(NC(=O)C=C2C=CCC=C2Cl)cc1Nc1nccc(-c2cccnc2)n1,0.83592861,-11.3,0.838336378
C=C1C=C(F)C=CCNc2c(NCCC3=CC=CCB-3)ncnc2O1,0.815311015,-10.4,0.841018458
N=CCCCCCC(=O)C=CC=CC=CNc1nccc(C2=CC=C2)n1,0.827496697,-10.7,0.842582961
N#CCC(P-C1CCCCC1)=C1C=C(NC=Pc2cccnc2)N=CC1,0.81306519,-10.3,0.84288654
CC(=CC=CN)C1=NC(=N)C=C1Nc1cc(NC=BC=O)ccc1C,0.833522822,-10.9,0.843140121
COc1cc2c(NC(=CC3=C(NCl)C3)CF)ncnc2cc1OCCN1CCN(C)CC1,0.836109005,-10.9,0.845696894
CN1CC2=CC(=CC=CN=CC(=CC3=CP=C3)C(N)=O)C(=O)C=Cc3ccc1cc32,0.82430364,-10.5,0.846024627
COCCOC1=CC(=NBr)CC=C1NC(=O)C=CCN(C)C,0.835942605,-10.8,0.848061438
COc1cc2c(NC3C=C(Cl)C=C3F)ncnc2cc1OCC1CCCN(C)C1,0.840869471,-10.9,0.85040369
CSCC1CN(C)CCC(N)N=CC2=CC1=C(CBr)C2,0.84408186,-11,0.851363533
C=CC=CC1Nc2ncncc2C=C(CC(=C)O)C1=CBr,0.827211208,-10.4,0.852559897
CCC(C)CCC1=CC(=CNc2ncnc3cc4oc(=O)n(CCOC)c4cc23)C1,0.853315662,-11.7,0.853315662
CC1=CC(NC(C)CCl)=B-c2ncccc2C(C=CN)=NCNNC1,0.83216585,-10.5,0.853686817
FC1=CC(Br)=CCCC=COCCCNCCCCCOCC=NC=NCNC1,0.83618738,-10.6,0.854222221
C#CC1=CCCN(C(C=CC(=COCCOC)OCCOC)=NCN=NC=C)C1,0.850682387,-11.2,0.854376579
CC=CC=CC(=CC=CCNC=CCNC=O)COCC,0.846217159,-10.9,0.855691795
CCCCCC(=O)NC1=CC=C(Nc2nccc(C3=COCP-C3)n2)C1,0.851447851,-11.1,0.856757689
O=C1CC2COC#Cc3cc(Cl)ccc3NC3N=S-C1CC3=CN2,0.849172712,-10.9,0.858614735
COC1=CCC(C=CCN2CC=NN(C)CC2)=CC2CC=CN1C2=O,0.858787931,-11.5,0.859374494
Cc1ccc(NC(=O)C2=CC=CC(N3CCN(C)CC3)C2)cc1Cl,0.845204852,-10.7,0.859980526
CC=C(C)C=CCN(N)C1=C2C=C(OC)C=C(C2)C1OC,0.834884509,-10.4,0.860007057
CNNC1=CCC=CC=CC1CC1=CC2=CNC3(N=C3N=C2)C(Br)C=C1,0.826774805,-10.2,0.860375453
C=CC1=CC=CC23CC=Cc4c(ccc(CO)c4S2)C3NC1CO,0.842494536,-10.6,0.860397183
CNC1=CCC(N2CN(c3cccnc3C)C=CN2)=C1,0.851105521,-10.9,0.860526337
CC1=C2C(NCC-C=CCCl)=NC=NN2C=CC2CC(N)CCN12,0.843030491,-10.6,0.860921993
O=C(NC1=NOCC(=CCNc2ncpc(-c3cccnc3)n2)C1)c1ccccc1,0.828006081,-10.2,0.861558711
N#CC1=C(NC2CC2)Nc2ccncc2CN=CCC=C1,0.841824819,-10.5,0.863104979
COC(O)C=C(C=O)C=Cc1cc2cnc(N)nc2nc1NCNC(C)(C)C,0.838697978,-10.4,0.863709612
OC1=CC=CCC2(N=CN=C3CNCC=CC3=CC=C2NF)c2cccc(c2)C1,0.830574541,-10.2,0.864027436
CC1=C(C#N)C=CN(C=P-c2ccccc2)C(C)CNC(=O)C1,0.839371587,-10.4,0.864363729
CC1=CC=C2C=CC=CC2C2=NC=NB-NC(=CC2C=CC=CC=CBr)CC1,0.827354362,-10.1,0.865456593
CC1=NC=NC(SCc2ccc(CO)cc2)NC=CC=C1,0.862105648,-11.2,0.865751098
C#CC(=NCNCC(C)=C1C=C(NC(=O)c2ccc(C)cc2)C1)c1cccnc1,0.828006089,-10.1,0.866079648
C=C1N=CN=C(NC2COCO2)C2C=COCCN(CCN(C)CC)CCOCCC1O2,0.856929141,-10.9,0.866286628
CS(=O)(=O)CCN1CCC=CC=C(OCc2ccccc2)C=CN2NC-1CCS-2,0.848886112,-10.6,0.866656737
CC=C=C=C1CN2C3=C4Cc5ccc(cc5N4C(=O)CN-C2OCC)C2(C=C13)CNCN2,0.846492334,-10.5,0.867658026
C=NC1(COCCNC2C-CCN(C)C2)Cc2ncnc(N3CC=C(Cl)C=C3F)c21,0.839019876,-10.3,0.867949923
C1#CCC=C(N2NC=NC3=CCOCCOC4=COCOC4=C2C3)C=CC1,0.846813401,-10.5,0.867971264
CC1=NP-C(C(=O)NCc2ccccc2)=CC1=CC=C(O)CO,0.83469087,-10.2,0.867985133
C=C1OCC(=O)N(CCCN2CCOCC2)C1=CPc1cncnc1Nc1ccccc1,0.868071951,-11.6,0.868217061
COCCC1COOCC1=CCCC=NCNCC=C1C-COC=CC1OC,0.832354976,-10.1,0.870238289
CC(=O)C=CC(=O)NCC1=CC1N=CC=CN=CN=CNc1cccc(Br)c1,0.846146875,-10.4,0.870944619
C#CC(C=CNC(=NC=N)OC-1CC1=CC(=COCCOC)OCCOC)=CC=C,0.846165098,-10.4,0.870962323
COC1=CC(=NPC=NCN2C=C(Cl)C(F)=CC2)CC=C2COCCN2CCCON1,0.833119509,-10.1,0.870969569
COC1=Cc2c(ncnc2Nc2ccc(Br)cc2F)C=C2CNCCC2CCON1,0.823221641,-9.9,0.871393438
C=c1ncc(C#N)c(NC(C)(C)CC)c1=CC(=N)NCCc1c#cccn1,0.853778122,-10.6,0.871448995
COC1=CC2=NCOC(NCP-C)=CCNC2C=CC1,0.833722554,-10.1,0.871546425
CC1C2NC(=O)C(C=C3Nc4cccnc4NC3=O)N12,0.864435601,-11,0.871547238
C(NCOC=CC1=NCC2=CC1=COC2)#P-CCc1c#cccc1,0.829051381,-10,0.871860369
C=CC(=O)NC1=CC(=C(NN=CN)N2C=CC=CC2(F)Cl)CC=C1OC1(N)CCOC1,0.834450074,-10.1,0.872242398
COC1=CC2=NCCN(c3cccc(NC(C)=O)c3)C2C=C1OC,0.843557153,-10.3,0.872336739
N#Cc1cnc2c(c1NC1CCCCC1)C=C(NCc1cccnc1)C(=N)C-2,0.829834464,-10,0.872605036
COC1=CC2=C(NCC=CPCBr)N=C=P-NC(=C1OC)C2,0.818980472,-9.8,0.872745045
C=CC=CNC1=C(ONc2ccccc2CF)CN(CCCSC(=N)N)C1=O,0.85826987,-10.7,0.8728244
CCn1c2c(c3ncnc(NCc4ccccc4)c31)=C(F)C=2,0.848357306,-10.4,0.873092271
COC1=CC2=CC(NC=C(N)Nc3cccc(Br)c3)C1OC=N2,0.813792205,-9.7,0.873520925
C=c1c2oc(=O)n1CC(CC(=O)OCC)c1c(ncnc1Nc1ccc(Cl)cc1)C=2,0.849075103,-10.4,0.873789749
CNC(C)(C)NC=C(C)C=NC=C1C=CC(NC=Pc2cccnc2)=N1,0.867158099,-11,0.874247589
C=C(Cl)C(Cl)=C(F)C=NC1C=C2N=CNOC2C=C1C1C=C1,0.850040658,-10.4,0.874728024
CCOC1=Cc2c(ncnc2N2C=C(C)C=CC2)C=C=P-1O,0.832216818,-10,0.874870929
C=CC1COC2C=CC1=CC1=C(NC(C=CBr)=CC=CF)N=C(N)NB1N2,0.815271432,-9.7,0.874899172
C=C=C(C=CCC1Sc2c(Nc3ccc4c(c3)C(N)CCC4)ncnc21)S(N)(=O)=O,0.853923874,-10.5,0.874909802
N#Cc1ccc2cc1C=C(NC=NCBr)C=C=CNC2=O,0.84199993,-10.2,0.875016128
CC(C)(C)Nc1c(C#N)cnc(=CN=CNCc2cccnc2)c1=CP,0.854824545,-10.5,0.875788891
CCOC(=O)C=CC(=O)NCC1C=C1C1CN=CN=C1Nc1cccc(Br)c1,0.859053967,-10.6,0.876618496
CC1COCC=c2ncnc(N3C=CC=CC3C)c2=CCN1CCNCCOF,0.834763353,-10,0.87729366
COC(C)(C)C1=CCN(C2=c3ccc(O)cc3=N2)C=C1,0.844440572,-10.2,0.877364931
CC1CC(N)(O)C(=C2C3=C2C2=CC=CNC(C2)N3)CN1CC1C=C=CC=C1,0.83989829,-10.1,0.877455988
C#CC1=CC(NC=NC=NC=C2C(C)=C2P-OCC=C)=C1,0.824387587,-9.8,0.877821049
C=Cc1ncnc2c1SCNC1=C3SC(C=C1)CN1CCC(=N1)C3=CC=CN2,0.857061389,-10.5,0.877972325
O=C1NCC2=CCB=CC=CC=C3CNc4cccc3c4C=C12,0.849568445,-10.3,0.878151046
CC1=CC=CC(C)(NC2=CC=CCNc3nccc(n3)C3C=NC2=C3)C1=O,0.857283177,-10.5,0.878188832
COc1cc(CO)ccc1C1(N)SC2C=CN(CC3=CCC31)N=C2,0.831271408,-9.9,0.879002165
CC(C=NNC1CCC#P-C1)=CNC(C)=CC1CC=NNCc2cccc1c2,0.836970879,-10,0.87939443
NC1=Cc2cc(O)c(O)cc2CC(=O)NCC=CC=C1,0.836990441,-10,0.879413048
CC(CC1=C=P-C=CC1)Nc1ccc(O)c(Nc2nccc(C3=CC3)n2)c1,0.842130611,-10.1,0.879592997
NC1CCC=CC=C=CC2=CC=CC=C(OCC=C2)O1,0.832057995,-9.9,0.879746077
C=C(C=CC=CCN)C=C(NNN=CN)Nc1cccc(O)c1,0.820482776,-9.7,0.879757375
C#Cc1cccc(Nc2ncnc3c2=C=CNC(C=CCN(O)C2CC2)C=C(OCC)C=3)c1,0.820808609,-9.7,0.880061263
C#Cc1c(COC(=O)NCCCC(=O)OC)ncnc1NC1C=CCC=C1N,0.865701758,-10.7,0.880133397
O=C1COC2=NC(NCC=CCCF)C(=CC(CCCN3CCOCC3)=CC2)N1,0.832749662,-9.9,0.88040028
CN1C(=O)CC=C1c1cccc2ccn(CC(=O)NCCCSC(=N)N)c12,0.855911431,-10.4,0.880434196
